"","Avg telson Length","Med Telson Length","Telson Length SD","Avg Wet Weight","Med Wet Weight","Wet Weight SD","Avg Body Condition","Med Body Condition","Body Condition SD","Avg Fulton's K","Med Fulton's K","Fulton's K SD"
"CHG",2.72723404255319,2.75,0.358097036446217,0.0299531914893617,0.0282,0.010177187855024,-0.029833058793439,0.0203699364678567,0.308464118296348,1.47874332502352,1.43885706940441,0.457401338957509
"CUR",2.76816901408451,2.75,0.388459631508695,0.0307154929577465,0.0298,0.0103678162446145,-0.0139670137829554,-0.0157350681742594,0.252386879044913,1.53936674321388,1.41150346150051,0.897011653396452
"TMP",2.71697674418605,2.7,0.293870192300071,0.0314906976744186,0.0292,0.00930718652065341,0.0556700405088712,0.059119083344517,0.220866689808161,1.57737032282284,1.48917542860543,0.409748466980166
